Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Harris, Kamala",174362,174362,0,Candidate (D-PRES),Democrat
GOPAC,153000,0,153000,527,Conservative
"Trump, Donald",25702,25702,0,Candidate (R-PRES),Republican
Democratic Lieutenant Governors Assn,25003,3,25000,Political Party,Democrat
DNC Services Corp,17706,17706,0,Political Party,Democrat
Democratic Senatorial Campaign Cmte,11900,11900,0,Political Party,Democrat
"Gottheimer, Josh",11250,3750,7500,Candidate (D-NJ05),Democrat
"Guthrie, Brett",10000,0,10000,Candidate (R-KY02),Republican
Impact (Schumer),10000,0,10000,LeadPAC,Democrat
"Blackburn, Marsha",10000,0,10000,Candidate (R-TNS1),Republican
Bluegrass Cmte,10000,0,10000,LeadPAC,Republican
Together Holding Our Majority PAC,10000,0,10000,LeadPAC,Republican
Democratic Congressional Campaign Cmte,9215,9215,0,Political Party,Democrat
"Sherrill, Mikie",8850,2350,6500,Candidate (D-NJ11),Democrat
"Tester, Jon",8261,3261,5000,Candidate (D-MTS1),Democrat
"Casey, Bob",8181,5681,2500,Candidate (D-PAS2),Democrat
"Rochester, Lisa Blunt",7800,300,7500,Candidate (D-DE01),Democrat
ActBlue Non-Federal,7660,7660,0,527,Liberal
"Hudson, Richard",7500,0,7500,Candidate (R-NC09),Republican
"Joyce, John",7500,0,7500,Candidate (R-PA13),Republican
"Cassidy, Bill",7500,0,7500,Candidate (R-LAS1),Republican
Eye of the Tiger PAC,7500,0,7500,LeadPAC,Republican
"Allred, Colin",6888,6888,0,Candidate (D-TX32),Democrat
"Kaine, Tim",6633,133,6500,Candidate (D-VAS1),Democrat
"Clark, Katherine",6050,1050,5000,Candidate (D-MA05),Democrat
"Aguilar, Pete",6043,43,6000,Candidate (D-CA33),Democrat
"LaHood, Darin",6000,0,6000,Candidate (R-IL16),Republican
Supporting House Problem Solvers,6000,1000,5000,LeadPAC,Democrat
"Low, Evan",6000,6000,0,Candidate (D-CA16),Democrat
"Smith, Jason",5500,0,5500,Candidate (R-MO08),Republican
"Peters, Scott",5330,330,5000,Candidate (D-CA50),Democrat
"Davis, Don",5306,806,4500,Candidate (D-NC01),Democrat
"McCarthy, Kevin",5100,100,5000,Candidate (R-CA20),Republican
