Recipient,Total,From Individuals,From Organization,Recipient Type,View
DNC Services Corp,577052,577052,0,Political Party,Democrat
"Harris, Kamala",286761,286761,0,Candidate (D-PRES),Democrat
GOPAC,125000,0,125000,527,Conservative
Democratic Congressional Campaign Cmte,45788,45788,0,Political Party,Democrat
"Casey, Bob",43468,33468,10000,Candidate (D-PAS2),Democrat
Democratic Senatorial Campaign Cmte,40943,10943,30000,Political Party,Democrat
"Trump, Donald",36176,36176,0,Candidate (R-PRES),Republican
National Republican Senatorial Cmte,32232,2232,30000,Political Party,Republican
National Republican Congressional Cmte,31455,1455,30000,Political Party,Republican
"Tester, Jon",14763,4763,10000,Candidate (D-MTS1),Democrat
"Rosen, Jacky",14737,4737,10000,Candidate (D-NVS1),Democrat
"Rochester, Lisa Blunt",14588,4588,10000,Candidate (D-DE01),Democrat
ActBlue Non-Federal,14489,14489,0,527,Liberal
"Kaine, Tim",13896,3896,10000,Candidate (D-VAS1),Democrat
Democratic Party of Pennsylvania,13844,13844,0,Political Party,Democrat
"Blackburn, Marsha",13300,3300,10000,Candidate (R-TNS1),Republican
"Scalise, Steve",11360,1360,10000,Candidate (R-LA01),Republican
"Gottheimer, Josh",11050,1050,10000,Candidate (D-NJ05),Democrat
"Johnson, Mike",10509,509,10000,Candidate (R-LA04),Republican
"Carter, Buddy",10300,3300,7000,Candidate (R-GA01),Republican
"Davis, Don",10104,104,10000,Candidate (D-NC01),Democrat
House Conservatives Fund,10000,0,10000,LeadPAC,Republican
Together Holding Our Majority PAC,10000,0,10000,LeadPAC,Republican
Common Sense for America PAC,10000,0,10000,LeadPAC,Republican
"Fischer, Deb",10000,0,10000,Candidate (R-NES1),Republican
"Correa, Lou",10000,0,10000,Candidate (D-CA46),Democrat
Tomorrow Is Meaningful,10000,0,10000,LeadPAC,Republican
Building Up Democracy's Dream,10000,0,10000,LeadPAC,Republican
Bluegrass Cmte,10000,0,10000,LeadPAC,Republican
Lead Encourage Elect PAC,10000,0,10000,LeadPAC,Republican
Eye of the Tiger PAC,10000,0,10000,LeadPAC,Republican
Blue Hen PAC,10000,0,10000,LeadPAC,Democrat
Mr Southern Missourian in the House,10000,0,10000,LeadPAC,Republican
"Guthrie, Brett",10000,0,10000,Candidate (R-KY02),Republican
"Schneider, Brad",10000,0,10000,Candidate (D-IL10),Democrat
"Peters, Scott",10000,0,10000,Candidate (D-CA50),Democrat
Alamo PAC,10000,0,10000,LeadPAC,Republican
Heartland Values PAC,10000,0,10000,Carey,Republican
"Smith, Jason",10000,0,10000,Candidate (R-MO08),Republican
Common Values PAC,10000,0,10000,LeadPAC,Republican
Continuing America's Strength & Security,10000,0,10000,LeadPAC,Republican
Lank PAC,10000,0,10000,LeadPAC,Republican
"Barrasso, John",10000,0,10000,Candidate (R-WYS1),Republican
Freedom Fund,10000,0,10000,LeadPAC,Republican
"Haley, Nikki",9399,9399,0,Candidate (R-PRES),Republican
"Ehasz, Ashley",9305,9305,0,Candidate (D-PA01),Democrat
"Fitzpatrick, Brian",9000,500,8500,Candidate (R-PA01),Republican
"Ross, Deborah",8500,0,8500,Candidate (D-NC02),Democrat
"Menendez, Robert",8000,3000,5000,Candidate (I-NJS1),Independent
Defend Our Conservative Senate PAC,8000,0,8000,LeadPAC,Republican
"Arrington, Jodey",8000,0,8000,Candidate (R-TX19),Republican
"Sherrill, Mikie",7925,925,7000,Candidate (D-NJ11),Democrat
Impact (Schumer),7500,0,7500,LeadPAC,Democrat
Motor City PAC,7500,0,7500,LeadPAC,Democrat
Fund for America's Future,7500,0,7500,LeadPAC,Republican
Oorah! PAC,7500,0,7500,LeadPAC,Republican
"Jobs, Opportunity & New Ideas PAC",7500,0,7500,LeadPAC,Republican
Carolina Victory Fund,7500,5000,2500,LeadPAC,Democrat
"Griffith, Morgan",7500,0,7500,Candidate (R-VA09),Republican
First In Freedom PAC,7500,5000,2500,LeadPAC,Republican
Alabama First PAC,7000,0,7000,LeadPAC,Republican
"Hudson, Richard",7000,0,7000,Candidate (R-NC09),Republican
"Curtis, John",7000,0,7000,Candidate (R-UT03),Republican
"Menendez, Rob",7000,0,7000,Candidate (D-NJ08),Democrat
"Murphy, Tammy",6900,6900,0,Candidate (D-NJS1),Democrat
"Bucshon, Larry",6800,3300,3500,Candidate (R-IN08),Republican
"Smucker, Lloyd",6750,250,6500,Candidate (R-PA11),Republican
"Peters, Gary",6610,6610,0,Candidate (D-MIS1),Democrat
"Kean, Thomas H Jr",6513,1513,5000,Candidate (R-NJ07),Republican
"Ratevosian, Jirair",6500,6500,0,Candidate (D-CA30),Democrat
"Houlahan, Chrissy",6460,1460,5000,Candidate (D-PA06),Democrat
"Moreno, Bernie",6064,1064,5000,Candidate (R-OHS1),Republican
"Brown, Sherrod",6054,6054,0,Candidate (D-OHS1),Democrat
"Clark, Katherine",6025,1025,5000,Candidate (D-MA05),Democrat
"Smith, Adrian",6000,0,6000,Candidate (R-NE03),Republican
Arkansas for Leadership,6000,0,6000,LeadPAC,Republican
"Comer, James",6000,0,6000,Candidate (R-KY01),Republican
Common Ground PAC,6000,0,6000,LeadPAC,Democrat
"McCormick, Dave",5952,952,5000,Candidate (R-PAS2),Republican
"Barragan, Nanette",5800,3300,2500,Candidate (D-CA44),Democrat
"Dean, Madeleine",5511,511,5000,Candidate (D-PA04),Democrat
Forward Blue,5421,5421,0,Outside Group,Liberal
"Davids, Sharice",5365,5365,0,Candidate (D-KS03),Democrat
"McCarthy, Kevin",5295,295,5000,Candidate (R-CA20),Republican
"Conaway, Herb",5250,250,5000,Candidate (D-NJ03),Democrat
"Sheehy, Tim",5154,154,5000,Candidate (R-MTS1),Republican
"Hogan, Larry",5052,52,5000,Candidate (R-MDS1),Republican
Senate Majority PAC,5050,5050,0,Outside Group,Liberal
"Kim, Andy",5027,5027,0,Candidate (D-NJ03),Democrat
"Foushee, Valerie",5008,8,5000,Candidate (D-NC04),Democrat
"Rogers, Mike",5005,5,5000,Candidate (R-MIS2),Republican
"Justice, Jim",5005,5,5000,Candidate (R-WVS1),Republican
Big Sky Opportunity PAC,5000,0,5000,LeadPAC,Republican
American Revival PAC,5000,0,5000,Carey,Republican
"Hirono, Mazie K",5000,0,5000,Candidate (D-HIS2),Democrat
"Emmer, Tom",5000,0,5000,Candidate (R-MN06),Republican
"Banks, Jim",5000,0,5000,Candidate (R-IN03),Republican
"Reschenthaler, Guy",5000,0,5000,Candidate (R-PA14),Republican
"Mullin, Kevin",5000,0,5000,Candidate (D-CA15),Democrat
"Pou, Nelida",5000,0,5000,Candidate (D-NJ09),Democrat
Bridging the Gap,5000,0,5000,LeadPAC,Republican
Boots PAC,5000,0,5000,LeadPAC,Republican
Jobs Education & Families First,5000,5000,0,Carey,Democrat
"Rodgers, Cathy McMorris",5000,0,5000,Candidate (R-WA05),Republican
"Aguilar, Pete",5000,0,5000,Candidate (D-CA33),Democrat
"Joyce, John",5000,0,5000,Candidate (R-PA13),Republican
Free State PAC,5000,0,5000,LeadPAC,Republican
Wild & Wonderful PAC,5000,0,5000,LeadPAC,Republican
"Mrvan, Frank Jr",5000,0,5000,Candidate (D-IN01),Democrat
Getting Stuff Done PAC,5000,0,5000,LeadPAC,Independent
"Tillis, Thom",5000,0,5000,Candidate (R-NCS1),Republican
"Balderson, Troy",5000,0,5000,Candidate (R-OH12),Republican
"Crenshaw, Dan",5000,0,5000,Candidate (R-TX02),Republican
Supporting House Problem Solvers,5000,0,5000,LeadPAC,Democrat
Smart Solutions PAC,5000,0,5000,LeadPAC,Democrat
People In Rural Areas Transform Elections PAC,5000,0,5000,LeadPAC,Democrat
