Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Harris, Kamala",352021,352021,0,Candidate (D-PRES),Democrat
National Republican Senatorial Cmte,122424,77424,45000,Political Party,Republican
Democratic Senatorial Campaign Cmte,105736,19056,86680,Political Party,Democrat
DNC Services Corp,89119,74119,15000,Political Party,Democrat
Democratic Lieutenant Governors Assn,80000,0,80000,Political Party,Democrat
National Republican Congressional Cmte,78857,48857,30000,Political Party,Republican
Democratic Congressional Campaign Cmte,51255,16255,35000,Political Party,Democrat
"Trump, Donald",39743,39743,0,Candidate (R-PRES),Republican
"Lee, Barbara",39632,39632,0,Candidate (D-CA12),Democrat
"Tester, Jon",25883,15883,10000,Candidate (D-MTS1),Democrat
Sentinel Action Fund,25000,25000,0,Outside Group,Conservative
Conservative Future Fund,25000,25000,0,Outside Group,Conservative
"Logan, George S",24582,24582,0,Candidate (R-CT05),Republican
"Scalise, Steve",20527,15527,5000,Candidate (R-LA01),Republican
"Casey, Bob",19273,14273,5000,Candidate (D-PAS2),Democrat
Republican National Cmte,18994,3994,15000,Political Party,Republican
"Peters, Gary",15805,13305,2500,Candidate (D-MIS1),Democrat
M-PAC,15000,0,15000,LeadPAC,Democrat
"Peters, Scott",14100,6600,7500,Candidate (D-CA50),Democrat
Eye of the Tiger PAC,13400,13400,0,LeadPAC,Republican
Senate Majority PAC,13343,13343,0,Outside Group,Liberal
"Schrier, Kim",12870,12870,0,Candidate (D-WA08),Democrat
"Lake, Kari",12814,12814,0,Candidate (R-AZS2),Republican
"Johnson, Mike",12810,2810,10000,Candidate (R-LA04),Republican
Heartland Values PAC,12500,0,12500,Carey,Republican
"Barrasso, John",11600,6600,5000,Candidate (R-WYS1),Republican
"Baldwin, Tammy",11377,11377,0,Candidate (D-WIS1),Democrat
"Clark, Katherine",11270,2270,9000,Candidate (D-MA05),Democrat
"Lawler, Mike",11227,3727,7500,Candidate (R-NY17),Republican
"Miller-Meeks, Mariannette",10740,1240,9500,Candidate (R-IA01),Republican
"Brown, Sherrod",10481,10481,0,Candidate (D-OHS1),Democrat
"Cassidy, Bill",10300,5800,4500,Candidate (R-LAS1),Republican
Washington State Democratic Central Cmte,10285,285,10000,Political Party,Democrat
"Guthrie, Brett",10100,100,10000,Candidate (R-KY02),Republican
Democratic Party of Virginia,10050,50,10000,Political Party,Democrat
Old North State PAC                               ,10000,0,10000,LeadPAC,Republican
Smart Solutions PAC,10000,0,10000,LeadPAC,Democrat
Bluegrass Cmte,10000,0,10000,LeadPAC,Republican
Republican Party of Connecticut,10000,0,10000,Political Party,Republican
