Recipient,Total,From Individuals,From Organization,Recipient Type,View
National Republican Congressional Cmte,147207,92207,55000,Political Party,Republican
GOPAC,145500,0,145500,527,Conservative
"Harris, Kamala",136618,136618,0,Candidate (D-PRES),Democrat
National Republican Senatorial Cmte,71897,41897,30000,Political Party,Republican
Democratic Senatorial Campaign Cmte,53688,8688,45000,Political Party,Democrat
Democratic Congressional Campaign Cmte,40338,5338,35000,Political Party,Democrat
"Trump, Donald",25216,25216,0,Candidate (R-PRES),Republican
Committed to America PAC,25000,25000,0,Outside Group,Conservative
"Guthrie, Brett",24900,14900,10000,Candidate (R-KY02),Republican
"Banks, Jim",23425,13425,10000,Candidate (R-IN03),Republican
American Revival PAC,23400,8400,15000,Carey,Republican
DNC Services Corp,20621,20621,0,Political Party,Democrat
Impact (Schumer),15000,0,15000,LeadPAC,Democrat
All for Our Country,15000,0,15000,LeadPAC,Democrat
Continuing America's Strength & Security,15000,0,15000,LeadPAC,Republican
Freedom Fund,15000,0,15000,LeadPAC,Republican
"Johnson, Mike",13881,8881,5000,Candidate (R-LA04),Republican
Hoosier Women Forward,13500,1500,12000,527,Liberal
Republican Party of Kentucky,12000,12000,0,Political Party,Republican
"Carter, Buddy",11800,3300,8500,Candidate (R-GA01),Republican
Democratic Party of California,11000,0,11000,Political Party,Democrat
"Mrvan, Frank Jr",10910,1410,9500,Candidate (D-IN01),Democrat
"Barragan, Nanette",10800,3300,7500,Candidate (D-CA44),Democrat
"Clark, Katherine",10500,500,10000,Candidate (D-MA05),Democrat
"McCormick, Dave",10315,10315,0,Candidate (R-PAS2),Republican
Treasure State PAC,10000,0,10000,LeadPAC,Democrat
I Got Your Back PAC,10000,0,10000,LeadPAC,Democrat
First State PAC,10000,0,10000,LeadPAC,Democrat
"Hudson, Richard",10000,0,10000,Candidate (R-NC09),Republican
"LaHood, Darin",10000,0,10000,Candidate (R-IL16),Republican
Bluegrass Cmte,10000,0,10000,LeadPAC,Republican
Democrats Reshaping America,10000,0,10000,LeadPAC,Democrat
Oorah! PAC,10000,0,10000,LeadPAC,Republican
"Peters, Scott",10000,0,10000,Candidate (D-CA50),Democrat
M-PAC,10000,0,10000,LeadPAC,Democrat
Perimeter PAC,10000,0,10000,LeadPAC,Democrat
Indiana Republican State Cmte,10000,5000,5000,Political Party,Republican
Blue Hen PAC,10000,0,10000,LeadPAC,Democrat
House Conservatives Fund,10000,0,10000,LeadPAC,Republican
Heartland Values PAC,10000,0,10000,Carey,Republican
Tomorrow Is Meaningful,10000,0,10000,LeadPAC,Republican
Common Ground PAC,10000,0,10000,LeadPAC,Democrat
"Scalise, Steve",10000,0,10000,Candidate (R-LA01),Republican
"Smith, Jason",10000,0,10000,Candidate (R-MO08),Republican
Holding Onto Oregon's Priorities,10000,0,10000,LeadPAC,Democrat
"Blackburn, Marsha",10000,0,10000,Candidate (R-TNS1),Republican
"Kaine, Tim",9800,3300,6500,Candidate (D-VAS1),Democrat
"Swalwell, Eric",9000,1500,7500,Candidate (D-CA14),Democrat
Smart Solutions PAC,8500,0,8500,LeadPAC,Democrat
"Rochester, Lisa Blunt",8350,3350,5000,Candidate (D-DE01),Democrat
"Bucshon, Larry",8300,3300,5000,Candidate (R-IN08),Republican
"Peters, Gary",8300,3300,5000,Candidate (D-MIS1),Democrat
Republican National Cmte,8261,8261,0,Political Party,Republican
"Kean, Thomas H Jr",8001,5001,3000,Candidate (R-NJ07),Republican
"Casey, Bob",7636,2636,5000,Candidate (D-PAS2),Democrat
"Barrasso, John",7503,3,7500,Candidate (R-WYS1),Republican
Lobo PAC,7500,0,7500,LeadPAC,Democrat
Together Holding Our Majority PAC,7500,0,7500,LeadPAC,Republican
"Miller-Meeks, Mariannette",7500,0,7500,Candidate (R-IA01),Republican
Granite Values,7500,0,7500,LeadPAC,Democrat
"Emmer, Tom",7500,0,7500,Candidate (R-MN06),Republican
Keystone America PAC,7500,0,7500,LeadPAC,Democrat
Democratic Lieutenant Governors Assn,7500,0,7500,Political Party,Democrat
"Joyce, John",7500,0,7500,Candidate (R-PA13),Republican
Building Up Democracy's Dream,7500,0,7500,LeadPAC,Republican
"Cassidy, Bill",7500,5000,2500,Candidate (R-LAS1),Republican
"Yakym, Rudy",7030,30,7000,Candidate (R-IN02),Republican
"Davis, Don",7001,1,7000,Candidate (D-NC01),Democrat
"Kelly, Mike",7000,0,7000,Candidate (R-PA16),Republican
ActBlue Non-Federal,6789,6789,0,527,Liberal
"Ross, Deborah",6500,0,6500,Candidate (D-NC02),Democrat
"Tester, Jon",6428,2428,4000,Candidate (D-MTS1),Democrat
Make Liberty Win,6000,6000,0,Carey,Conservative
Carolina Victory Fund,5800,3300,2500,LeadPAC,Democrat
